stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,30,0.3,0,0.0,0,1,30.0,3,3.0,1,0,1,3.0,0.5,0.2,0.3,0.95
,,4,76,0.8,0,0.0,0,4,19.0,0,2.0,3,0,3,3.55,1.6,0.4,1.2,1.42
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,323,3.6,4,81.0,3,0,0.0,0,2.0,4,1,3,0.84,4.7,2.4,2.3,0.64
,,4,293,3.3,4,73.0,0,0,0.0,0,0.25,4,10,-6,-1.84,3.8,3.6,0.3,0.08
,,4,289,3.2,4,72.0,2,0,0.0,0,1.5,3,5,-2,-0.62,3.6,5.6,-2.0,-0.61
,,4,360,4.0,4,90.0,4,0,0.0,0,3.0,11,3,8,2.0,9.2,2.9,6.3,1.57
,,1,3,0.0,0,0.0,0,1,3.0,2,3.0,0,0,0,0.0,0.2,0.1,0.1,3.94
,,1,10,0.1,0,0.0,0,1,10.0,0,0.0,0,0,0,0.0,0.3,0.0,0.3,2.92
,,4,312,3.5,4,78.0,1,0,0.0,0,2.25,7,1,6,1.73,6.7,2.2,4.5,1.29
,,4,360,4.0,4,90.0,4,0,0.0,0,2.25,7,1,6,1.5,7.8,2.8,5.0,1.26
,,2,3,0.0,0,0.0,0,2,2.0,2,2.0,0,0,0,0.0,0.0,0.1,-0.1,-1.64
,,3,170,1.9,2,79.0,0,1,13.0,0,1.33,1,3,-2,-1.06,1.2,3.6,-2.4,-1.27
,,1,10,0.1,0,0.0,0,1,10.0,2,0.0,0,0,0,0.0,0.3,0.0,0.3,2.92
,,1,90,1.0,1,90.0,1,0,0.0,0,0.0,1,2,-1,-1.0,1.2,1.6,-0.4,-0.42
,,1,90,1.0,1,90.0,1,0,0.0,1,1.0,1,1,0,0.0,1.5,0.8,0.8,0.75
,,4,242,2.7,3,74.0,0,1,19.0,0,2.0,2,2,0,0.0,3.4,2.2,1.2,0.43
,,2,81,0.9,1,76.0,0,1,5.0,0,0.5,1,1,0,0.0,1.1,0.9,0.3,0.29
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,248,2.8,4,62.0,0,0,0.0,0,1.0,2,4,-2,-0.73,2.6,5.5,-2.9,-1.06
,,1,1,0.0,0,0.0,0,1,1.0,3,0.0,0,1,-1,-90.0,0.1,0.6,-0.5,-44.13
,,4,205,2.3,2,81.0,0,2,22.0,0,1.25,2,4,-2,-0.88,3.4,3.9,-0.5,-0.2
,,4,147,1.6,1,61.0,0,3,29.0,0,0.0,1,4,-3,-1.84,2.1,3.9,-1.8,-1.1
,,4,315,3.5,4,79.0,3,0,0.0,0,1.0,5,5,0,0.0,4.5,6.5,-2.1,-0.59
,,3,225,2.5,3,75.0,0,0,0.0,1,0.0,0,5,-5,-2.0,2.6,4.9,-2.3,-0.93
,,3,205,2.3,3,68.0,1,0,0.0,1,0.0,0,3,-3,-1.32,2.8,3.2,-0.4,-0.17
,,1,1,0.0,0,0.0,0,1,1.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,90,1.0,1,90.0,1,0,0.0,0,3.0,3,2,1,1.0,2.4,1.8,0.6,0.57
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,35,0.4,0,0.0,0,3,12.0,1,1.67,0,1,-1,-2.57,0.6,0.6,0.0,0.03
,,4,167,1.9,1,90.0,1,3,26.0,0,2.0,2,1,1,0.54,3.9,2.4,1.5,0.83
,,1,21,0.2,0,0.0,0,1,21.0,0,0.0,0,1,-1,-4.29,0.7,1.0,-0.2,-0.99
,,3,177,2.0,2,75.0,0,1,28.0,0,0.33,2,4,-2,-1.02,1.7,3.1,-1.4,-0.71
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,178,2.0,3,59.0,1,0,0.0,0,2.0,1,3,-2,-1.01,3.0,2.2,0.7,0.36
,,3,198,2.2,2,90.0,2,1,18.0,1,1.67,2,1,1,0.45,4.1,2.6,1.5,0.67
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,90,1.0,0,0.0,0,3,30.0,1,2.0,3,2,1,1.0,1.5,0.9,0.6,0.65
,,4,159,1.8,1,60.0,0,3,33.0,0,2.5,4,1,3,1.7,3.4,3.0,0.4,0.25
,,4,360,4.0,4,90.0,4,0,0.0,0,1.25,4,4,0,0.0,4.6,4.2,0.4,0.1
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
