stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,0.3,42,6,17,25,0,0,42,0,0,0.0,0,0.0,24,101.0,73.0,0,0,0,0,0,31,0
,,0.8,63,0,3,20,41,7,63,5,0,0.0,5,100.0,37,332.0,167.0,3,3,2,3,2,46,22
,,3.6,216,12,61,112,49,1,216,8,4,50.0,3,37.5,95,641.0,417.0,11,7,2,2,3,103,7
,,3.3,168,8,43,77,51,6,168,9,5,55.6,3,33.3,90,422.0,150.0,3,5,1,4,3,101,7
,,3.2,152,9,64,62,29,4,152,2,1,50.0,1,50.0,83,558.0,350.0,4,4,0,5,1,99,7
,,4.0,388,24,111,190,87,1,388,0,0,0.0,0,0.0,205,1027.0,581.0,4,10,0,2,0,323,1
,,0.0,9,1,3,1,5,0,9,0,0,0.0,0,0.0,4,28.0,7.0,0,0,0,0,1,5,0
,,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112.0,98.0,4,1,0,0,0,12,1
,,3.5,273,7,61,119,93,6,273,8,2,25.0,5,62.5,144,764.0,466.0,10,6,1,4,4,184,19
,,4.0,151,110,148,3,0,0,151,0,0,0.0,0,0.0,98,346.0,185.0,0,0,0,0,0,113,0
,,0.0,4,0,0,2,2,0,4,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,1.9,109,7,35,57,19,0,109,3,0,0.0,2,66.7,59,305.0,85.0,0,4,0,0,2,65,1
,,0.1,6,0,0,0,6,1,6,0,0,0.0,0,0.0,6,50.0,25.0,0,0,1,0,2,6,2
,,1.0,93,14,38,50,5,0,93,0,0,0.0,0,0.0,49,189.0,103.0,1,1,0,0,1,67,1
,,1.0,85,14,47,36,4,1,85,0,0,0.0,0,0.0,44,124.0,52.0,0,0,0,0,0,49,0
,,2.7,168,8,32,80,59,11,168,10,4,40.0,4,40.0,91,412.0,162.0,5,2,2,11,4,95,16
,,0.9,50,1,13,36,2,0,50,1,1,100.0,0,0.0,36,105.0,47.0,0,1,0,0,1,37,0
,,2.8,73,1,8,35,32,6,73,4,2,50.0,1,25.0,39,313.0,178.0,6,4,0,11,6,50,12
,,0.0,3,0,1,1,1,1,3,0,0,0.0,0,0.0,1,2.0,0.0,0,0,0,0,0,2,0
,,2.3,107,6,33,58,18,1,107,0,0,0.0,0,0.0,44,150.0,77.0,1,0,0,2,0,51,7
,,1.6,33,0,2,13,18,7,32,1,0,0.0,1,100.0,14,54.0,18.0,2,0,2,2,2,20,7
,,3.5,135,117,134,1,0,0,135,0,0,0.0,0,0.0,65,307.0,137.0,0,0,0,0,0,55,0
,,2.5,139,8,27,60,53,8,139,4,2,50.0,1,25.0,93,601.0,384.0,12,5,5,1,4,113,14
,,2.3,80,2,4,30,46,12,80,4,0,0.0,4,100.0,52,253.0,100.0,5,1,2,3,4,60,14
,,0.0,4,0,0,2,2,1,4,0,0,0.0,0,0.0,3,9.0,0.0,0,0,0,0,0,4,0
,,1.0,34,33,34,0,0,0,34,0,0,0.0,0,0.0,19,102.0,78.0,0,0,0,0,0,10,0
,,0.4,17,1,2,5,11,3,17,1,1,100.0,0,0.0,9,63.0,52.0,1,1,0,3,0,11,1
,,1.9,109,1,13,50,46,10,109,7,1,14.3,2,28.6,54,325.0,146.0,5,3,1,4,3,74,10
,,0.2,12,0,0,7,5,1,12,0,0,0.0,0,0.0,6,25.0,12.0,0,0,0,0,1,9,1
,,2.0,85,2,9,49,30,4,85,10,7,70.0,2,20.0,56,416.0,132.0,3,2,0,7,5,57,6
,,2.0,72,3,11,22,41,4,72,5,3,60.0,2,40.0,43,338.0,200.0,7,1,2,4,3,49,9
,,2.2,121,3,12,76,37,1,121,8,5,62.5,3,37.5,60,432.0,197.0,5,7,0,2,1,71,2
,,1.0,81,2,7,46,29,1,81,0,0,0.0,0,0.0,51,237.0,101.0,3,1,0,0,0,65,0
,,1.8,59,2,10,17,32,10,59,6,3,50.0,2,33.3,43,311.0,194.0,9,4,3,4,0,42,18
,,4.0,287,38,154,128,7,4,287,6,2,33.3,2,33.3,201,893.0,531.0,4,1,0,4,2,208,0
,,3.9,406,65,174,222,12,2,406,0,0,0.0,0,0.0,233,919.0,488.0,1,3,0,1,0,308,1
,,3.0,101,1,16,46,41,2,101,13,1,7.7,9,69.2,67,498.0,246.0,6,4,2,3,4,64,12
,,1.7,133,6,24,77,32,3,133,1,0,0.0,1,100.0,80,382.0,151.0,3,4,1,0,2,101,2
,,0.5,27,2,6,14,7,0,27,0,0,0.0,0,0.0,10,50.0,13.0,0,0,0,0,0,9,0
,,0.4,54,1,5,22,28,2,54,3,2,66.7,1,33.3,25,98.0,23.0,0,0,0,3,3,38,2
,,3.9,236,22,82,121,34,0,236,2,1,50.0,1,50.0,121,528.0,284.0,7,1,0,2,4,131,13
,,0.5,19,1,1,12,6,0,19,1,0,0.0,1,100.0,8,36.0,19.0,1,0,0,3,1,13,1
,,0.3,16,0,1,6,9,2,16,0,0,0.0,0,0.0,10,43.0,27.0,0,0,0,0,2,11,2
,,1.7,159,3,22,95,45,1,159,6,4,66.7,2,33.3,109,701.0,328.0,5,5,0,2,0,132,0
,,1.9,117,6,31,71,16,0,117,2,1,50.0,0,0.0,72,326.0,157.0,3,3,0,2,5,79,5
,,1.0,71,16,44,25,2,1,71,0,0,0.0,0,0.0,32,111.0,33.0,0,0,0,1,0,39,0
,,3.7,120,7,26,34,61,13,120,14,4,28.6,10,71.4,63,527.0,204.0,7,6,3,3,12,73,21
,,0.9,97,5,30,40,29,9,97,1,1,100.0,0,0.0,56,324.0,180.0,6,1,2,1,0,55,5
,,3.5,141,2,8,51,83,12,141,4,1,25.0,2,50.0,96,599.0,305.0,9,12,2,5,3,117,28
,,0.1,4,0,0,4,1,0,4,0,0,0.0,0,0.0,2,1.0,0.0,0,0,0,0,0,3,1
,,1.9,87,0,12,49,28,2,87,7,2,28.6,4,57.1,49,266.0,109.0,3,2,0,7,4,55,5
,,4.0,218,51,134,69,16,8,218,0,0,0.0,0,0.0,120,548.0,187.0,0,0,0,2,0,133,1
,,1.3,36,3,12,13,12,1,36,5,1,20.0,4,80.0,25,81.0,33.0,2,2,0,2,2,28,6
,,3.8,274,5,62,157,57,0,274,6,2,33.3,2,33.3,150,590.0,312.0,5,2,0,3,3,198,6
,,0.8,49,2,9,25,16,2,49,4,2,50.0,1,25.0,31,226.0,132.0,3,2,1,0,0,37,2
,,0.2,12,3,5,6,1,0,12,1,1,100.0,0,0.0,5,45.0,39.0,2,0,0,0,0,7,0
,,0.5,17,2,12,5,0,0,17,0,0,0.0,0,0.0,3,14.0,0.0,0,0,0,0,0,3,1
,,3.6,99,2,6,48,46,15,99,6,0,0.0,5,83.3,55,256.0,70.0,3,1,3,15,6,79,16
,,0.7,36,0,11,13,12,4,36,3,0,0.0,2,66.7,18,114.0,63.0,3,0,0,0,0,20,3
,,2.5,212,13,67,108,38,6,212,2,1,50.0,1,50.0,127,487.0,263.0,1,3,0,2,2,151,2
,,1.1,62,6,22,25,15,2,62,0,0,0.0,0,0.0,26,104.0,50.0,1,3,0,0,0,32,1
,,0.8,36,0,12,18,7,1,36,0,0,0.0,0,0.0,18,30.0,11.0,0,0,0,0,0,24,1
,,0.1,3,0,0,1,2,1,3,0,0,0.0,0,0.0,1,13.0,5.0,0,0,0,0,0,2,0
,,0.2,5,1,1,2,2,0,5,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0
,,2.5,133,5,24,77,34,5,133,6,2,33.3,3,50.0,70,358.0,148.0,4,5,1,6,0,70,8
,,0.5,22,0,3,8,13,1,22,5,2,40.0,2,40.0,13,136.0,76.0,1,1,0,1,0,14,4
,,1.7,92,7,39,46,7,1,92,0,0,0.0,0,0.0,61,225.0,121.0,1,0,1,1,0,66,1
,,0.1,8,4,8,0,0,0,8,0,0,0.0,0,0.0,2,7.0,0.0,0,1,1,1,0,0,0
,,1.0,52,3,12,30,10,2,52,2,2,100.0,0,0.0,22,100.0,35.0,0,0,0,1,0,25,2
,,4.0,243,41,145,83,15,8,243,1,1,100.0,0,0.0,126,561.0,292.0,4,0,0,1,2,152,1
,,0.5,31,1,8,16,7,1,31,1,1,100.0,0,0.0,20,108.0,27.0,0,0,0,5,0,23,2
,,4.0,336,47,167,163,7,2,336,1,0,0.0,1,100.0,187,1020.0,602.0,3,1,0,3,0,242,0
,,3.9,219,11,53,127,43,2,219,2,1,50.0,1,50.0,87,475.0,274.0,4,2,0,4,2,100,2
,,0.3,14,0,1,7,6,1,14,1,0,0.0,1,100.0,8,57.0,23.0,1,0,1,0,0,11,2
,,2.2,116,8,33,59,24,0,116,2,0,0.0,0,0.0,42,247.0,62.0,3,3,0,2,3,54,4
,,0.0,2,0,1,1,0,0,2,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,0
,,3.8,290,16,84,147,59,5,290,1,1,100.0,0,0.0,109,458.0,234.0,5,0,0,4,0,191,13
,,3.1,143,8,16,65,71,18,143,15,7,46.7,6,40.0,77,661.0,336.0,13,10,7,6,7,86,23
,,4.0,302,23,120,127,56,4,302,8,4,50.0,2,25.0,175,762.0,427.0,3,7,0,6,0,184,17
,,2.3,121,6,25,55,46,6,121,7,4,57.1,2,28.6,69,453.0,218.0,9,3,2,4,6,77,5
,,0.2,6,0,2,4,0,0,6,3,1,33.3,2,66.7,4,26.0,3.0,0,0,0,1,0,3,0
,,4.0,188,26,77,61,54,5,188,6,2,33.3,4,66.7,85,555.0,238.0,8,5,1,8,0,89,11
,,2.3,143,33,79,59,6,4,143,2,0,0.0,1,50.0,75,489.0,319.0,1,0,0,0,0,87,2
,,4.0,357,1,21,112,226,17,357,8,4,50.0,3,37.5,177,802.0,442.0,10,12,2,4,9,275,32
,,3.3,71,8,15,31,27,8,71,5,2,40.0,3,60.0,46,427.0,224.0,6,6,4,11,9,53,8
,,1.2,75,14,51,20,4,1,75,1,0,0.0,1,100.0,36,145.0,28.0,0,1,0,2,1,50,0
,,0.4,31,0,6,18,7,0,31,0,0,0.0,0,0.0,21,119.0,74.0,2,0,0,0,0,26,0
,,2.9,176,1,12,63,105,21,176,7,2,28.6,5,71.4,116,870.0,413.0,23,14,13,3,5,138,43
,,3.1,303,35,122,155,26,3,303,0,0,0.0,0,0.0,179,1136.0,609.0,3,6,0,2,0,242,1
,,3.2,146,1,11,59,81,21,146,18,7,38.9,8,44.4,99,874.0,434.0,15,10,10,2,7,111,27
,,1.4,86,0,5,29,53,5,86,14,6,42.9,5,35.7,62,484.0,336.0,11,7,4,3,2,71,14
,,3.4,217,12,77,56,87,1,217,2,1,50.0,1,50.0,101,464.0,168.0,0,3,0,3,2,127,17
,,3.0,165,16,82,79,4,4,165,0,0,0.0,0,0.0,96,429.0,215.0,0,0,0,2,1,110,1
,,0.7,62,3,28,32,2,0,62,0,0,0.0,0,0.0,38,203.0,57.0,0,0,0,1,0,45,0
,,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107.0,48.0,0,0,0,2,0,13,1
,,2.3,135,13,49,55,33,5,135,1,1,100.0,0,0.0,52,183.0,68.0,1,2,0,3,1,62,8
,,2.5,142,1,5,37,106,20,142,27,12,44.4,7,25.9,105,1162.0,769.0,31,21,11,7,5,120,40
,,1.2,71,6,12,36,23,2,71,1,0,0.0,1,100.0,24,63.0,39.0,1,1,0,1,0,34,4
,,1.4,43,1,8,21,14,4,43,3,2,66.7,1,33.3,20,117.0,68.0,3,1,0,0,1,26,7
,,1.0,63,1,10,43,10,1,63,2,2,100.0,0,0.0,35,119.0,54.0,1,1,1,0,1,41,0
,,4.0,314,16,79,161,74,8,314,5,1,20.0,4,80.0,139,826.0,425.0,9,5,2,6,6,230,9
,,0.5,55,4,12,33,10,0,55,0,0,0.0,0,0.0,33,266.0,73.0,1,1,0,0,1,38,0
,,1.0,60,5,20,32,9,2,60,1,0,0.0,0,0.0,28,121.0,51.0,0,1,0,1,0,33,0
,,3.8,368,46,208,140,25,3,368,1,0,0.0,1,100.0,218,961.0,553.0,3,3,0,0,0,271,0
,,1.2,59,1,2,28,29,11,59,5,1,20.0,4,80.0,31,73.0,31.0,0,1,0,4,5,47,8
,,4.0,159,111,159,0,0,0,159,0,0,0.0,0,0.0,89,499.0,298.0,0,0,0,1,0,103,0
,,0.0,3,1,3,0,0,0,3,0,0,0.0,0,0.0,1,2.0,0.0,0,0,0,0,0,1,0
,,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107.0,50.0,2,1,2,4,1,26,7
,,0.7,43,0,0,7,36,10,43,4,2,50.0,2,50.0,34,336.0,197.0,6,2,4,4,0,39,23
,,2.9,122,1,15,47,65,13,122,14,3,21.4,6,42.9,70,578.0,325.0,9,4,7,7,4,76,15
,,0.1,14,0,1,4,9,1,14,0,0,0.0,0,0.0,10,50.0,28.0,1,0,1,0,0,11,3
,,0.5,45,0,3,16,26,1,45,4,2,50.0,2,50.0,22,97.0,52.0,2,0,0,3,0,30,6
,,0.0,1,0,1,0,0,0,1,0,0,0.0,0,0.0,1,6.0,0.0,0,0,0,0,0,0,0
,,0.9,56,2,7,35,14,1,56,0,0,0.0,0,0.0,27,116.0,63.0,2,1,0,1,0,39,2
,,0.2,24,0,1,14,10,2,24,0,0,0.0,0,0.0,16,114.0,100.0,3,1,2,0,0,22,4
,,2.3,53,4,5,22,26,13,52,4,1,25.0,1,25.0,27,122.0,43.0,1,0,0,2,4,37,5
,,0.3,27,1,7,18,3,0,27,0,0,0.0,0,0.0,10,34.0,9.0,0,0,0,0,0,13,0
,,4.0,246,0,20,119,111,19,246,20,7,35.0,13,65.0,170,900.0,507.0,17,10,8,7,6,185,38
,,0.5,8,8,8,0,0,0,8,0,0,0.0,0,0.0,6,46.0,38.0,0,0,0,0,0,2,0
,,4.0,246,52,148,93,6,4,246,0,0,0.0,0,0.0,128,582.0,285.0,0,1,0,2,3,158,0
,,3.0,133,10,44,48,46,4,133,22,6,27.3,10,45.5,81,553.0,223.0,9,4,3,10,6,85,16
,,0.9,61,1,6,32,24,5,61,7,3,42.9,3,42.9,41,349.0,225.0,6,2,1,2,2,51,8
,,0.1,2,0,0,1,1,0,2,0,0,0.0,0,0.0,1,6.0,0.0,0,0,0,0,0,2,0
,,3.9,237,3,24,113,102,12,237,7,4,57.1,2,28.6,151,741.0,365.0,12,6,2,5,6,172,19
,,1.6,92,1,13,37,43,8,92,1,0,0.0,1,100.0,47,280.0,146.0,4,2,1,5,2,65,13
,,3.0,224,3,33,124,67,10,224,2,1,50.0,1,50.0,126,435.0,230.0,2,3,0,6,4,172,10
,,4.0,228,191,221,8,0,0,228,0,0,0.0,0,0.0,149,649.0,324.0,0,0,0,0,0,139,0
,,0.5,32,3,7,9,16,0,32,0,0,0.0,0,0.0,20,109.0,56.0,2,1,0,0,0,28,2
,,4.0,309,35,127,171,15,3,309,4,2,50.0,0,0.0,197,1048.0,499.0,3,3,0,8,2,237,3
,,0.1,11,0,1,3,7,2,11,1,1,100.0,0,0.0,9,33.0,16.0,0,1,0,1,0,9,3
,,0.3,7,0,3,3,1,0,7,0,0,0.0,0,0.0,5,35.0,18.0,1,0,0,1,0,6,1
,,0.7,24,3,3,10,11,6,24,2,0,0.0,2,100.0,10,51.0,43.0,2,0,2,4,1,15,3
,,1.0,42,4,6,17,20,6,42,2,2,100.0,0,0.0,27,156.0,64.0,1,1,1,0,1,35,14
,,3.7,156,10,34,97,26,4,156,4,0,0.0,4,100.0,66,304.0,152.0,2,2,1,2,6,80,3
,,1.6,82,1,10,34,39,13,82,9,1,11.1,6,66.7,61,349.0,193.0,9,3,5,5,6,64,22
,,0.7,32,2,10,13,9,0,32,1,0,0.0,1,100.0,15,94.0,38.0,1,1,0,0,0,21,1
,,3.9,207,3,14,108,87,16,207,13,6,46.2,6,46.2,122,591.0,274.0,9,6,3,8,11,161,19
,,1.1,73,2,14,46,13,0,73,2,1,50.0,1,50.0,44,210.0,117.0,2,0,0,0,0,58,2
